id_da_escola,tipo_da_escola,nome_da_escola,bairro,logradouro_da_entrega,numero,nome_subprefeitura,quantidade_de_material_didatico,latitude,longitude
025,ESCOLA MUNICIPAL,GEORGE SUMMER,RIACHUELO,RUA ANA NERI,S/N,RIACHUELO,0,-22.900704,-43.255408
660,ESCOLA MUNICIPAL,NOSSA SENHORA DA POMPEIA,TODOS OS SANTOS,RUA CIRNE MAIA,109,TODOS OS SANTOS,342,-22.892031,-43.279925
373,ESCOLA MUNICIPAL,PROFESSOR AUGUSTO PAULINO,MEIER,RUA CONEGO TOBIAS,116,MEIER,44,-22.904163,-43.28033
624,ESCOLA MUNICIPAL,RIO GRANDE DO SUL,ENGENHO DE DENTRO,RUA ADOLFO BERGAMINI,201,ENGENHO DE DENTRO,109,-22.900341,-43.29594
157,ESCOLA MUNICIPAL,SARMIENTO,ENGENHO NOVO,RUA VINTE QUATRO DE MAIO,931,ENGENHO NOVO,350,-22.903031,-43.267883
020,ESCOLA MUNICIPAL,TAGORE,PIEDADE,PCA. FREDERICO DUVAL O,S/N,PIEDADE,0,-22.887661,-43.302467
117,CENTRO INTEGRADO DE EDUCACAO PUBLICA,CHANCELER WILLY BRANDT,JACARE,RUA ALVARO SEIXAS O,S/N,JACARE,457,-22.894178,-43.263847
502,CENTRO INTEGRADO DE EDUCACAO PUBLICA,PATRICE LUMUMBA,DEL CASTILHO,PRACA DA CONFEDERACAO SUICA O,S/N,DEL CASTILHO,493,-22.878355,-43.274889
351,CENTRO INTEGRADO DE EDUCACAO PUBLICA,VINICIUS DE MORAES,JACARE,AVENIDA DOM HELDER CAMARA,1715,JACARE,489,-22.885318,-43.254104
135,ESCOLA MUNICIPAL,DOMINGOS BEBIANO,INHAUMA,ESTRUA ADHEMAR BEBIANO,1870,INHAUMA,456,-22.873892,-43.277712
388,ESCOLA MUNICIPAL,CARDEAL CAMARA,PARADA DE LUCAS,RUA ANAMA,98,PARADA DE LUCAS,504,-22.81527,-43.303566
440,ESCOLA MUNICIPAL,JOAQUIM RIBEIRO,INHAUMA,PCA. SOLDADO COSME DOS SANTOS,28,INHAUMA,530,-22.87757,-43.285628
259,ESCOLA MUNICIPAL,PERNAMBUCO,MARIA DA GRACA,RUA CONDE DE AZAMBUJA,579,MARIA DA GRACA,158,-22.884179,-43.262622
422,ESCOLA MUNICIPAL,ALBINO SOUZA CRUZ,MANGUINHOS,AVENIDA DOS DEMOCRATICOS,268,MANGUINHOS,123,-22.880986,-43.253246
041,ESCOLA MUNICIPAL,ANDRADE NEVES,JARDIM AMERICA,RUA VIANA DO CASTELO. O,S/N,JARDIM AMERICA,0,-22.809448,-43.326292
537,ESCOLA MUNICIPAL,ARY QUINTELLA,PENHA CIRCULAR,RUA ENG. MOREIRA LIMA,54,PENHA CIRCULAR,234,-22.839412,-43.300069
230,ESCOLA MUNICIPAL,BERLIM,OLARIA,PCA. RAMOS FIGUEIRA,20,OLARIA,24,-22.847791,-43.261444
379,CENTRO INTEGRADO DE EDUCACAO PUBLICA,NELSON MANDELA,CAMPO GRANDE,PRACA DANIEL LAMES ,S/N,CAMPO GRANDE,109,-22.895575,-43.570508
089,ESCOLA MUNICIPAL,MARIO CLAUDIO,RIO COMPRIDO,RUA HADDOCK LOBO,148,RIO COMPRIDO,0,-22.917233,-43.211044
146,ESCOLA MUNICIPAL,BERNARDO VASCONCELOS,PENHA,PCA. SANTA ROSALIA,100,PENHA,151,-22.845629,-43.284007
566,ESCOLA MUNICIPAL,BRANT HORTA,PENHA CIRCULAR,RUA BENTO CARDOSO,130,PENHA CIRCULAR,564,-22.835668,-43.288156
388,ESCOLA MUNICIPAL,CARDEAL CAMARA,PARADA DE LUCAS,RUA ANAMA,98,PARADA DE LUCAS,504,-22.81527,-43.303566
498,ESCOLA MUNICIPAL,CHILE,OLARIA,PCA. BELMONTE,15,OLARIA,61,-22.84858,-43.268589
663,ESCOLA MUNICIPAL,CIENTISTA MARIO KROEFF,PENHA,RUA DO COUTO,91,PENHA,426,-22.838964,-43.27517
121,ESCOLA MUNICIPAL,DILERMANDO CRUZ,RAMOS,AVENIDA TEIXEIRA DE CASTRO,407,RAMOS,167,-22.853868,-43.252451
161,ESCOLA MUNICIPAL,JOAO DE DEUS,PENHA CIRCULAR,PCA. ALMEIDA GARRET O,S/N,PENHA CIRCULAR,509,-22.829946,-43.282108
263,ESCOLA MUNICIPAL,PADRE MANUEL DE NOBREGA,VIGARIO GERAL,PRACA ELBA,1215,VIGARIO GERAL,292,-22.857137,-43.264165
118,CENTRO INTEGRADO DE EDUCACAO PUBLICA,ELIS REGINA,BONSUCESSO,RUA PRINCIPAL .O,S/N,BONSUCESSO,210,-22.857829,-43.240452
140,ESCOLA MUNICIPAL,PEDRO LESSA,BONSUCESSO,RUA ADAIL,49,BONSUCESSO,153,-22.86047,-43.25428
260,ESCOLA MUNICIPAL,PROFESSOR JOSUE DE CASTRO,BONSUCESSO,AVENIDA BRASIL 4040 RUA DA VITORIA,S/N,BONSUCESSO,0,-22.873739,-43.240712
069,ESCOLA MUNICIPAL,CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO,401,MADUREIRA,0,-22.876082,-43.343369
090,ESCOLA MUNICIPAL,THOMAS JEFFERSON,ACARI,AVENIDA PASTOR MARTIN LUTHER KING JR O,S/N,ACARI,0,-22.81631,-43.340149
274,ESCOLA MUNICIPAL,ABEILARD FEIJO,CACUIA,ESTRADA DA CACUIA,1386,CACUIA,561,-22.807692,-43.181558
676,ESCOLA MUNICIPAL,ANISIO TEIXEIRA,JARDIM GUANABARA,RUA SERENATA,40,JARDIM GUANABARA,180,-22.812441,-43.209658
390,ESCOLA MUNICIPAL,ANDREA FONTES PEIXOTO,PARQUE COLUMBIA,RUA FAUSTO E CASTRO O,S/N,PARQUE COLUMBIA,257,-22.81631,-43.340149
608,ESCOLA MUNICIPAL,GRANDJEAN DE MONTIGNY,PAVUNA,PRACA DOS UCRANIANOS O,S/N,PAVUNA,260,-22.81389,-43.373926
589,ESCOLA MUNICIPAL,MARIO PIRAGIBE,ANCHIETA,PRACA NOSSA SENHORA DAS DORES O,S/N,ANCHIETA,317,-22.825581,-43.392076
256,ESCOLA MUNICIPAL,PARAIBA,ANCHIETA,ESTRADA MARECHAL ALENCASTRO 4.,035,ANCHIETA,345,-22.826363,-43.402883
091,ESCOLA MUNICIPAL,PIAUI,GUADALUPE,AVENIDA BRASIL 23.,364,GUADALUPE,0,-22.845415,-43.37852
